method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 213, 'n_layers': 3, 'learning_rate': 0.03284257338249057, 'dropout_prob': 0.4702995511817259, 'n_epochs': 95, 'batch_size': 52, 'weight_positives': False}",0.5004773338733474,0.5335153075467601
NeuralNet,"{'n_hidden': 213, 'n_layers': 3, 'learning_rate': 0.03284257338249057, 'dropout_prob': 0.4702995511817259, 'n_epochs': 95, 'batch_size': 52, 'weight_positives': False}",0.468134347788353,0.507366853810602
NeuralNet,"{'n_hidden': 185, 'n_layers': 1, 'learning_rate': 0.0007146104046001492, 'dropout_prob': 0.3446152796156071, 'n_epochs': 69, 'batch_size': 152, 'weight_positives': False}",0.7144964850869325,0.6680728310431465
NeuralNet,"{'n_hidden': 185, 'n_layers': 1, 'learning_rate': 0.0007146104046001492, 'dropout_prob': 0.3446152796156071, 'n_epochs': 69, 'batch_size': 152, 'weight_positives': False}",0.7041687158272341,0.6892273333540123
NeuralNet,"{'n_hidden': 185, 'n_layers': 1, 'learning_rate': 0.0007146104046001492, 'dropout_prob': 0.3446152796156071, 'n_epochs': 69, 'batch_size': 152, 'weight_positives': False}",0.75106315271791,0.6884518750581593
NeuralNet,"{'n_hidden': 111, 'n_layers': 2, 'learning_rate': 0.0004721563364927971, 'dropout_prob': 0.6532168461905916, 'n_epochs': 37, 'batch_size': 114, 'weight_positives': False}",0.6866086151531807,0.7018517944104966
NeuralNet,"{'n_hidden': 111, 'n_layers': 2, 'learning_rate': 0.0004721563364927971, 'dropout_prob': 0.6532168461905916, 'n_epochs': 37, 'batch_size': 114, 'weight_positives': False}",0.6437353545288859,0.600732032631285
NeuralNet,"{'n_hidden': 111, 'n_layers': 2, 'learning_rate': 0.0004721563364927971, 'dropout_prob': 0.6532168461905916, 'n_epochs': 37, 'batch_size': 114, 'weight_positives': False}",0.7159429513698036,0.714476255466981
NeuralNet,"{'n_hidden': 61, 'n_layers': 3, 'learning_rate': 0.004609215871330523, 'dropout_prob': 0.4370901416010888, 'n_epochs': 78, 'batch_size': 189, 'weight_positives': True}",0.4995226661266526,0.4672601507490927
NeuralNet,"{'n_hidden': 61, 'n_layers': 3, 'learning_rate': 0.004609215871330523, 'dropout_prob': 0.4370901416010888, 'n_epochs': 78, 'batch_size': 189, 'weight_positives': True}",0.6458471953018774,0.5748627438816339
NeuralNet,"{'n_hidden': 61, 'n_layers': 3, 'learning_rate': 0.004609215871330523, 'dropout_prob': 0.4370901416010888, 'n_epochs': 78, 'batch_size': 189, 'weight_positives': True}",0.5323863800734804,0.48754613976860317
NeuralNet,"{'n_hidden': 250, 'n_layers': 2, 'learning_rate': 0.3592084025571018, 'dropout_prob': 0.706720309206891, 'n_epochs': 63, 'batch_size': 162, 'weight_positives': False}",0.7027222495443631,0.7008592077918049
NeuralNet,"{'n_hidden': 250, 'n_layers': 2, 'learning_rate': 0.3592084025571018, 'dropout_prob': 0.706720309206891, 'n_epochs': 63, 'batch_size': 162, 'weight_positives': False}",0.5649318714380768,0.568069729209963
